                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.1047,                0.67515,                  1.046,                0.61284,                0.46755,                0.50867,                0.34173,                 1.0945,                0.64095,                  1.049,               0.003367,               0.003367,               0.003367
                     69,                 1.1091,                 0.6729,                 1.0474,                 0.6353,                0.45929,                0.51301,                0.34534,                 1.0927,                0.63987,                 1.0474,               0.003268,               0.003268,               0.003268
                     70,                 1.1054,                0.67391,                  1.047,                 0.6495,                0.45128,                 0.5132,                0.34593,                 1.0923,                0.63906,                 1.0474,               0.003169,               0.003169,               0.003169
                     71,                 1.1034,                0.67398,                 1.0435,                0.62526,                0.46434,                0.51585,                0.34872,                 1.0916,                0.63749,                 1.0466,                0.00307,                0.00307,                0.00307
                     72,                 1.1031,                0.66606,                 1.0436,                0.61073,                 0.4743,                0.51851,                0.34803,                 1.0903,                0.63588,                 1.0467,               0.002971,               0.002971,               0.002971
                     73,                 1.1052,                0.66583,                 1.0435,                0.63704,                0.45378,                0.51599,                0.34776,                 1.0905,                0.63599,                  1.047,               0.002872,               0.002872,               0.002872
                     74,                 1.0972,                0.66048,                 1.0402,                0.62586,                0.46272,                0.51794,                0.34996,                 1.0921,                0.63463,                 1.0473,               0.002773,               0.002773,               0.002773
                     75,                 1.0968,                0.65997,                 1.0414,                0.61199,                 0.4723,                0.51884,                0.35161,                  1.091,                0.63395,                 1.0469,               0.002674,               0.002674,               0.002674
                     76,                 1.0941,                0.66052,                  1.037,                0.63291,                0.46123,                0.52068,                0.35251,                 1.0899,                0.63338,                 1.0462,               0.002575,               0.002575,               0.002575
                     77,                 1.0947,                0.65711,                 1.0415,                 0.6528,                0.46106,                0.52416,                0.35481,                 1.0887,                 0.6322,                 1.0453,               0.002476,               0.002476,               0.002476
                     78,                 1.0924,                0.65772,                 1.0348,                0.64748,                0.45723,                0.52217,                0.35266,                 1.0882,                0.63167,                 1.0442,               0.002377,               0.002377,               0.002377
                     79,                 1.0894,                0.65141,                 1.0367,                0.66872,                0.45075,                0.52466,                0.35578,                 1.0886,                0.63042,                 1.0445,               0.002278,               0.002278,               0.002278
                     80,                 1.0906,                0.65166,                 1.0364,                0.65272,                0.45805,                0.52509,                0.35531,                  1.086,                0.62936,                 1.0431,               0.002179,               0.002179,               0.002179
                     81,                 1.0838,                0.65009,                 1.0354,                0.64467,                0.45627,                0.52496,                0.35433,                 1.0849,                0.62841,                 1.0428,                0.00208,                0.00208,                0.00208
                     82,                 1.0831,                0.64481,                 1.0314,                0.61355,                0.47252,                0.52615,                0.35425,                 1.0833,                0.62775,                 1.0421,               0.001981,               0.001981,               0.001981
                     83,                 1.0818,                0.64585,                  1.033,                0.63534,                0.47176,                0.52661,                0.35535,                 1.0834,                0.62695,                 1.0422,               0.001882,               0.001882,               0.001882
                     84,                 1.0854,                0.64747,                 1.0353,                0.62033,                0.48137,                0.52665,                0.35376,                 1.0843,                0.62669,                 1.0422,               0.001783,               0.001783,               0.001783
                     85,                 1.0739,                 0.6392,                 1.0304,                0.61271,                0.47824,                0.52702,                0.35473,                 1.0835,                0.62591,                 1.0417,               0.001684,               0.001684,               0.001684
                     86,                 1.0825,                0.64503,                 1.0306,                  0.624,                0.47058,                0.52735,                0.35472,                 1.0835,                0.62578,                  1.042,               0.001585,               0.001585,               0.001585
                     87,                  1.076,                0.64133,                 1.0298,                0.65255,                0.45398,                0.52702,                  0.355,                 1.0836,                0.62611,                 1.0419,               0.001486,               0.001486,               0.001486
                     88,                 1.0766,                0.63728,                 1.0281,                0.64894,                 0.4567,                0.52683,                0.35525,                 1.0828,                  0.626,                  1.041,               0.001387,               0.001387,               0.001387
                     89,                 1.0764,                0.64018,                 1.0291,                0.67363,                0.44895,                0.52701,                0.35528,                 1.0827,                0.62567,                 1.0414,               0.001288,               0.001288,               0.001288
